UID,buying_price,maintainence_cost,number_of_doors,number_of_seats,luggage_boot_size,safety_rating,popularity
227,3,3,4,5,2,3,2
228,2,4,3,5,1,2,1
229,2,4,3,4,1,2,1
230,2,1,4,5,1,3,3
231,2,3,2,4,2,2,1
232,2,4,4,4,2,1,1
233,4,4,2,2,3,1,1
234,4,2,4,4,1,1,1
235,4,2,2,2,1,2,1
236,3,2,5,4,3,2,2
237,2,4,2,4,3,1,1
238,3,3,3,4,1,2,1
239,2,4,5,4,2,3,2
240,2,3,5,5,1,2,1
241,3,2,3,4,1,2,1
242,2,3,4,4,1,1,1
243,1,2,5,4,1,2,2
244,1,1,2,2,3,2,1
245,2,4,2,5,3,1,1
246,1,4,2,2,3,1,1
247,4,2,2,5,3,3,2
248,2,3,4,4,1,3,2
249,4,3,3,5,3,3,1
250,1,3,3,5,1,1,1
251,3,3,3,2,2,3,1
252,2,1,5,4,3,2,3
253,1,3,2,2,3,3,1
254,3,4,2,5,3,1,1
255,3,1,4,5,1,1,1
256,1,2,2,4,1,2,2
257,1,1,3,4,1,3,3
258,2,1,5,5,3,1,1
259,3,1,3,2,2,1,1
260,3,1,4,4,2,1,1
261,3,2,2,2,3,1,1
262,3,1,3,5,1,3,2
263,4,4,2,4,2,2,1
264,4,3,4,2,3,2,1
265,1,2,4,5,2,1,1
266,1,4,3,2,1,1,1
267,4,3,4,5,1,1,1
268,4,1,3,5,2,3,2
269,2,3,4,2,2,1,1
270,3,2,3,4,3,3,2
271,3,1,5,4,3,2,2
272,4,2,2,4,1,1,1
273,3,4,5,2,3,1,1
274,2,1,3,2,3,2,1
275,2,4,4,2,3,2,1
276,1,2,3,2,1,2,1
277,1,4,5,5,3,3,2
278,2,4,2,2,1,2,1
279,3,1,5,5,2,3,2
280,4,4,4,2,3,1,1
281,2,3,3,4,1,2,1
282,1,3,5,5,3,3,4
283,4,4,3,2,3,2,1
284,3,2,2,5,1,2,1
285,4,1,4,5,3,2,2
286,3,4,4,4,3,3,1
287,4,2,3,5,2,3,2
288,3,1,4,5,2,2,2
289,3,4,3,5,2,1,1
290,1,4,4,5,1,1,1
291,3,4,2,2,3,1,1
292,3,3,4,4,1,2,1
293,1,3,2,5,1,1,1
294,1,1,3,2,3,2,1
295,1,4,4,2,2,2,1
296,1,3,4,4,1,2,2
297,3,1,3,2,3,2,1
298,1,2,5,5,3,3,4
299,4,4,5,4,2,2,1
300,3,1,4,2,1,2,1
301,3,4,4,2,1,3,1
302,4,3,4,2,1,1,1
303,4,3,2,2,2,2,1
304,4,4,3,4,2,2,1
305,4,3,3,2,3,1,1
306,2,2,3,2,2,1,1
307,2,4,3,5,2,2,2
308,2,2,5,4,2,3,4
309,3,3,4,4,1,1,1
310,4,4,3,2,3,1,1
311,1,4,3,4,2,1,1
312,1,3,3,5,2,2,2
313,4,4,4,4,2,1,1
314,4,4,4,2,2,3,1
315,3,3,4,5,3,3,2
316,2,3,2,2,1,3,1
317,3,4,4,5,2,2,1
318,3,3,4,4,3,3,2
319,2,4,3,4,2,3,2
320,3,1,3,4,3,3,2
321,1,2,5,2,1,1,1
322,2,4,5,2,1,3,1
323,1,3,3,2,2,2,1
324,1,2,3,2,1,1,1
325,4,1,2,4,2,2,1
326,1,4,3,2,1,3,1
327,4,2,4,4,2,1,1
328,2,3,3,2,2,3,1
329,1,4,2,2,2,2,1
330,1,1,2,2,1,1,1
331,1,1,4,5,3,2,3
332,1,2,3,5,2,1,1
333,4,1,3,5,1,3,2
334,1,3,2,4,3,1,1
335,1,4,3,2,2,3,1
336,3,3,4,4,1,3,2
337,2,2,2,4,3,1,1
338,4,1,4,5,2,1,1
339,3,1,5,2,3,3,1
340,2,1,4,4,1,2,2
341,3,1,4,5,1,3,2
342,2,4,3,4,3,3,2
343,1,2,4,2,3,1,1
344,3,4,2,4,1,2,1
345,1,4,3,5,2,2,2
346,2,3,5,4,2,1,1
347,3,2,2,2,1,3,1
348,2,1,5,5,1,2,2
349,2,4,2,4,2,3,2
350,2,2,5,2,2,2,1
351,1,2,5,4,2,1,1
352,1,2,5,4,2,3,4
353,3,4,2,2,1,2,1
354,2,2,5,2,2,1,1
355,3,3,5,5,3,3,2
356,1,2,5,4,3,1,1
357,4,2,4,4,3,2,2
358,3,3,5,2,1,1,1
359,3,3,5,5,2,2,2
360,2,3,2,2,1,2,1
361,3,1,3,4,2,1,1
362,2,3,2,2,2,1,1
363,2,1,2,5,2,3,3
364,1,3,4,4,1,1,1
365,2,2,4,2,2,3,1
366,4,2,4,2,3,1,1
367,1,4,2,4,2,3,2
368,2,3,2,4,1,1,1
369,3,3,4,4,2,1,1
370,2,2,5,5,3,2,2
371,3,1,5,5,1,2,1
372,3,1,3,4,1,1,1
373,4,3,5,4,3,3,1
374,4,3,3,4,1,2,1
375,1,1,2,5,2,1,1
376,1,2,2,2,3,2,1
377,1,4,2,4,3,3,2
378,2,3,4,5,3,3,2
379,2,2,2,4,1,2,2
380,3,1,2,5,1,3,1
381,2,1,3,4,3,3,4
382,2,3,5,4,2,2,2
383,1,2,2,2,1,2,1
384,1,3,3,5,3,1,1
385,1,1,5,5,3,3,4
386,1,2,5,2,2,3,1
387,4,3,4,4,2,3,1
388,3,3,2,5,3,2,2
389,2,2,4,2,2,2,1
390,1,2,3,4,1,3,3
391,1,4,3,5,3,1,1
392,1,1,2,4,1,3,3
393,2,2,5,5,2,1,1
394,1,3,4,5,2,2,2
395,3,4,3,5,3,3,1
396,1,4,2,5,1,2,1
397,2,1,3,2,1,3,1
398,2,1,4,4,3,1,1
399,1,3,5,2,3,3,1
400,2,1,2,5,1,2,1
401,4,1,5,2,2,3,1
402,3,4,4,2,3,2,1
403,3,4,5,2,2,3,1
404,3,2,2,4,2,1,1
405,3,1,5,2,1,1,1
406,4,2,5,2,2,3,1
407,3,1,5,2,3,1,1
408,4,1,3,4,1,2,1
409,4,3,5,2,2,1,1
410,1,4,4,2,1,2,1
411,4,2,2,5,1,1,1
412,1,2,5,4,3,2,3
413,4,3,5,2,2,3,1
414,4,3,2,4,1,2,1
415,4,4,4,5,2,2,1
416,4,4,3,5,3,3,1
417,2,1,3,4,3,1,1
418,3,4,2,5,3,2,1
419,2,3,5,4,2,3,2
420,4,4,5,2,3,2,1
421,2,4,5,2,1,2,1
422,4,4,4,2,1,3,1
423,4,3,2,4,3,3,1
424,2,2,5,5,2,2,2
425,4,1,3,5,2,1,1
426,4,3,5,5,1,1,1
427,2,3,2,5,3,1,1
428,1,2,3,4,2,2,2
429,1,2,2,5,1,2,1
430,4,4,2,5,2,3,1
431,2,4,3,2,2,1,1
432,1,2,5,4,1,1,1
433,4,1,3,4,2,3,2
434,4,3,3,4,3,2,1
435,3,4,4,4,1,1,1
436,1,3,3,4,3,1,1
437,3,4,3,5,1,3,1
438,1,2,4,2,1,1,1
439,1,3,3,4,1,3,2
440,4,1,5,4,2,3,2
441,2,4,3,4,1,3,2
442,1,3,3,2,3,2,1
443,2,1,3,2,2,1,1
444,2,1,4,2,2,3,1
445,1,3,4,4,3,1,1
446,4,1,3,2,2,2,1
447,4,4,3,5,3,2,1
448,2,2,2,5,3,1,1
449,4,3,2,4,1,1,1
450,4,2,3,4,2,3,2
451,1,1,4,5,1,3,3
452,4,1,4,2,1,2,1
453,3,1,5,4,1,3,2
454,2,1,5,5,1,1,1
455,4,1,3,5,1,1,1
456,4,1,2,5,2,2,1
457,4,3,2,2,3,1,1
458,3,1,5,2,2,1,1
459,1,2,3,2,2,1,1
460,4,4,5,4,3,2,1
461,2,1,2,4,2,1,1
462,1,3,5,5,1,3,2
463,3,4,2,5,1,2,1
464,2,4,4,5,3,2,2
465,3,3,5,2,2,3,1
466,2,4,3,2,2,3,1
467,4,1,5,4,3,2,2
468,1,1,3,4,2,2,2
469,4,1,2,5,3,1,1
470,4,1,2,2,2,3,1
471,1,3,5,4,2,1,1
472,3,2,3,2,2,2,1
473,4,4,5,5,3,2,1
474,1,1,4,5,1,2,2
475,3,3,5,2,3,1,1
476,2,2,4,2,3,1,1
477,4,1,5,2,2,2,1
478,2,4,5,5,2,1,1
479,3,2,2,2,2,2,1
480,4,1,5,2,3,1,1
481,2,2,3,5,1,2,2
482,2,4,4,5,2,3,2
483,2,3,5,2,3,3,1
484,3,1,5,2,2,3,1
485,1,1,3,5,3,1,1
486,3,2,3,2,2,1,1
487,1,1,2,5,2,2,2
488,2,4,5,4,3,2,2
489,2,4,2,4,2,1,1
490,3,4,2,4,2,2,1
491,4,4,3,4,2,3,1
492,1,2,5,5,2,2,3
493,3,3,4,4,3,2,2
494,3,3,5,4,3,2,2
495,1,2,4,5,3,1,1
496,4,4,2,2,1,1,1
497,4,1,2,4,3,3,2
498,2,1,4,2,1,3,1
499,1,3,4,4,1,3,2
500,2,3,5,2,1,3,1
501,3,2,2,5,2,3,2
502,4,3,3,4,1,1,1
503,1,3,2,5,3,3,4
504,4,2,3,5,3,2,2
505,4,2,3,2,3,3,1
506,3,2,2,5,3,2,2
507,3,2,3,5,2,2,2
508,3,2,3,2,3,2,1
509,4,2,5,5,1,2,1
510,4,1,4,4,2,1,1
511,1,3,4,5,3,2,2
512,4,3,2,5,2,3,1
513,3,1,3,2,3,1,1
514,4,3,3,5,1,3,1
515,3,2,4,2,1,1,1
516,4,3,5,2,3,1,1
517,2,1,2,5,3,2,3
518,1,4,3,2,2,1,1
519,4,4,2,4,1,1,1
520,2,4,5,4,2,1,1
521,4,3,2,5,3,1,1
522,3,3,3,4,3,1,1
523,2,1,3,5,1,1,1
524,4,3,4,5,2,1,1
525,2,3,2,5,1,2,1
526,3,1,2,4,2,1,1
527,3,1,2,5,3,3,2
528,3,2,4,5,3,2,2
529,4,2,5,2,3,2,1
530,3,3,3,2,3,2,1
531,3,3,2,4,2,2,1
532,4,4,4,5,2,3,1
533,1,4,5,4,3,3,2
534,2,2,5,4,2,1,1
535,3,4,4,2,2,1,1
536,4,1,2,2,3,3,1
537,1,4,4,2,2,1,1
538,4,4,2,5,1,1,1
539,3,1,5,4,1,1,1
540,4,4,5,5,2,1,1
541,2,4,3,5,2,1,1
542,1,4,2,4,3,1,1
543,4,3,3,5,1,1,1
544,4,3,4,4,3,1,1
545,4,4,3,5,2,2,1
546,4,3,4,2,2,2,1
547,3,3,4,2,1,1,1
548,2,1,2,5,1,1,1
549,1,3,3,5,3,2,2
550,3,1,2,2,3,1,1
551,4,4,2,5,3,1,1
552,4,2,5,2,1,2,1
553,1,4,5,5,1,2,1
554,2,3,3,4,1,1,1
555,4,3,5,5,3,1,1
556,2,1,2,5,1,3,1
557,4,3,4,5,3,1,1
558,3,1,3,4,2,2,1
559,2,4,4,2,2,3,1
560,1,3,5,4,3,2,2
561,4,4,4,4,2,2,1
562,3,3,5,5,3,2,2
563,3,3,5,4,2,3,2
564,3,4,4,5,2,3,1
565,1,2,4,5,3,2,3
566,4,2,2,4,1,2,1
567,2,2,2,2,1,2,1
568,1,1,3,4,2,1,1
569,1,4,2,5,3,3,2
570,2,4,2,4,1,1,1
571,4,3,3,5,2,3,1
572,1,1,4,4,2,2,3
573,4,4,3,5,2,1,1
574,3,1,5,5,1,1,1
575,2,3,2,2,3,2,1
576,2,4,2,2,3,3,1
577,3,4,4,2,1,2,1
578,3,4,3,4,1,1,1
579,3,1,2,4,2,2,1
580,1,1,5,5,2,2,3
581,2,2,3,4,2,1,1
582,4,2,2,4,1,3,2
583,3,4,3,4,1,3,1
584,2,2,2,4,2,1,1
585,3,3,4,2,3,2,1
586,2,1,3,5,3,3,4
587,2,4,2,2,1,1,1
588,4,2,2,2,3,1,1
589,3,3,3,2,3,1,1
590,3,1,2,4,1,3,2
591,1,1,3,2,2,1,1
592,3,3,4,4,3,1,1
593,3,3,3,5,3,3,2
594,1,4,2,5,3,2,2
595,1,4,4,2,1,1,1
596,2,3,5,5,2,2,2
597,2,2,2,2,1,3,1
598,1,1,2,5,1,3,1
599,1,3,5,5,1,1,1
600,4,2,3,5,3,1,1
601,1,4,5,2,1,2,1
602,1,1,4,2,2,2,1
603,2,4,2,2,3,2,1
604,4,4,4,4,1,2,1
605,2,4,3,5,3,1,1
606,2,4,3,4,1,1,1
607,3,3,3,4,1,1,1
608,2,2,2,5,3,2,2
609,2,4,5,4,1,1,1
610,2,4,4,4,1,2,1
611,3,2,5,4,1,2,1
612,4,3,4,2,1,2,1
613,2,4,4,2,1,3,1
614,1,1,4,2,2,1,1
615,3,1,2,4,3,1,1
616,1,3,4,2,3,3,1
617,1,4,5,4,3,2,2
618,3,3,2,5,2,3,2
619,4,3,5,2,1,1,1
620,4,2,4,5,1,3,2
621,1,3,3,4,3,3,4
622,3,1,2,5,2,2,1
623,4,3,5,2,2,2,1
624,1,4,4,2,3,1,1
625,2,2,4,4,2,2,2
626,4,4,2,4,2,1,1
627,4,1,3,4,2,1,1
628,1,2,5,2,2,2,1
629,4,3,5,4,3,1,1
630,3,4,4,4,1,3,1
631,4,2,3,5,1,3,2
632,1,3,5,4,3,3,4
633,2,1,4,4,1,1,1
634,2,4,5,4,1,3,2
635,4,3,2,2,1,1,1
636,2,1,3,4,2,2,2
637,3,4,3,5,2,2,1
638,2,2,4,2,1,1,1
639,2,2,2,4,2,3,2
640,1,3,2,5,2,2,2
641,4,2,3,2,2,2,1
642,3,4,2,4,3,2,1
643,3,1,3,5,2,2,2
644,2,2,3,2,3,1,1
645,1,3,2,2,3,2,1
646,2,4,5,2,2,2,1
647,1,1,3,2,3,1,1
648,1,2,3,2,3,1,1
649,2,3,2,5,3,2,2
650,3,1,2,2,3,2,1
651,4,2,2,4,2,2,1
652,3,3,4,2,2,2,1
653,4,2,3,2,1,1,1
654,3,1,4,5,1,2,1
655,3,1,3,5,1,1,1
656,1,3,4,5,1,3,2
657,1,4,5,5,1,1,1
658,3,3,2,2,3,1,1
659,3,2,2,2,2,1,1
660,3,1,4,4,1,3,2
661,1,3,4,2,2,3,1
662,2,2,3,4,1,3,2
663,3,4,5,5,1,2,1
664,2,2,2,2,2,1,1
665,2,3,3,5,1,3,2
666,4,3,3,4,1,3,1
667,4,1,5,4,1,3,2
668,2,1,5,2,2,3,1
669,4,2,4,2,1,2,1
670,1,3,2,5,3,1,1
671,1,1,4,2,1,1,1
672,3,1,2,5,3,2,2
673,3,4,2,2,2,1,1
674,3,2,3,5,2,3,2
675,4,1,3,2,2,1,1
676,4,2,3,5,2,2,2
677,4,4,2,2,3,3,1
678,3,2,3,2,3,1,1
679,4,1,4,5,1,3,2
680,1,4,2,5,3,1,1
681,2,4,5,4,3,1,1
682,2,4,2,5,2,3,2
683,2,3,5,4,1,3,2
684,2,4,2,2,2,1,1
685,4,3,5,4,3,2,1
686,2,2,3,5,3,2,2
687,4,2,2,2,2,3,1
688,3,4,3,4,2,1,1
689,3,3,5,5,2,1,1
690,2,2,2,4,3,3,4
691,2,4,4,5,3,3,2
692,4,2,5,5,1,1,1
693,4,3,5,4,2,1,1
694,4,3,3,2,3,3,1
695,2,3,3,2,1,2,1
696,2,1,4,2,2,1,1
697,4,4,3,5,1,3,1
698,4,1,4,2,1,3,1
699,2,1,2,5,3,3,4
700,1,3,3,4,2,2,2
701,1,2,5,2,3,1,1
702,3,1,5,2,2,2,1
703,2,2,4,5,3,2,2
704,1,4,2,2,3,2,1
705,1,2,2,5,3,1,1
706,3,2,5,4,1,1,1
707,1,2,4,4,3,2,3
708,2,3,5,5,3,1,1
709,3,2,2,5,1,3,1
710,3,3,5,4,2,1,1
711,2,1,4,4,2,2,3
712,3,4,5,5,3,2,1
713,2,3,4,2,3,1,1
714,4,3,4,4,3,3,1
715,1,4,2,5,2,3,2
716,4,1,4,5,1,1,1
717,4,4,5,2,2,2,1
718,3,2,4,2,3,1,1
719,1,2,4,5,1,2,2
720,4,4,5,2,3,3,1
721,2,1,3,2,1,1,1
722,3,1,3,4,1,2,1
723,3,4,2,2,2,2,1
724,2,2,5,2,1,1,1
725,4,3,3,4,3,3,1
726,2,2,5,4,1,2,2
727,4,1,4,2,2,3,1
728,2,4,3,2,2,2,1
729,1,1,2,4,1,2,2
730,2,1,5,2,2,2,1
731,3,2,4,2,1,3,1
732,3,3,3,5,3,1,1
733,1,4,4,4,2,1,1
734,2,4,4,5,1,1,1
735,3,4,5,5,1,3,1
736,1,2,2,5,2,1,1
737,1,2,3,4,2,1,1
738,4,3,2,2,3,2,1
739,2,1,4,5,2,2,3
740,2,3,2,5,1,3,1
741,2,3,5,5,2,3,2
742,1,4,3,5,3,2,2
743,2,2,5,5,3,1,1
744,4,3,3,4,2,2,1
745,2,4,4,5,2,2,2
746,1,3,4,5,1,2,2
747,2,2,4,4,1,1,1
748,4,4,5,4,3,3,1
749,3,3,2,2,1,1,1
750,1,1,2,4,2,1,1
751,3,2,2,5,2,2,1
752,3,4,3,5,2,3,1
753,4,1,5,4,3,3,2
754,4,2,2,4,2,3,2
755,1,1,3,2,1,2,1
756,1,4,5,4,2,3,2
757,4,1,5,5,3,3,2
758,4,3,3,2,2,1,1
759,2,1,5,4,2,3,4
760,4,2,5,2,1,3,1
761,1,1,5,5,1,1,1
762,1,2,3,2,2,2,1
763,1,1,3,2,2,2,1
764,4,1,3,4,1,1,1
765,2,3,3,4,3,2,2
766,2,4,4,5,3,1,1
767,4,3,5,5,1,2,1
768,3,3,3,2,1,2,1
769,4,1,5,2,1,1,1
770,3,4,5,2,3,2,1
771,3,3,2,4,1,3,2
772,3,4,2,2,3,2,1
773,1,2,2,2,2,1,1
774,3,3,3,2,1,3,1
775,3,3,5,4,1,2,1
776,3,4,5,2,3,3,1
777,2,1,5,5,2,1,1
778,4,2,5,5,2,2,2
779,3,4,3,4,1,2,1
780,3,4,3,2,2,1,1
781,2,1,4,2,3,1,1
782,4,3,2,5,1,1,1
783,3,4,4,4,3,1,1
784,2,4,4,2,1,1,1
785,1,1,2,2,1,2,1
786,3,2,2,4,1,2,1
787,4,4,5,5,1,2,1
788,4,2,5,2,2,1,1
789,1,3,5,2,3,2,1
790,2,1,4,5,3,1,1
791,1,2,2,2,2,3,1
792,2,2,4,2,3,2,1
793,1,3,5,2,1,3,1
794,4,2,4,5,1,2,1
795,1,1,2,5,3,1,1
796,4,2,4,4,1,3,2
797,3,4,5,4,3,3,1
798,2,3,2,5,2,2,1
799,2,1,2,5,3,1,1
800,2,4,5,2,3,1,1
801,1,2,4,2,2,2,1
802,4,4,4,2,3,3,1
803,1,4,3,4,1,1,1
804,3,1,2,2,2,2,1
805,3,3,2,2,2,1,1
806,4,1,4,2,3,2,1
807,1,1,5,4,2,3,4
808,4,3,5,2,3,2,1
809,4,1,5,5,2,1,1
810,2,4,3,5,3,3,2
811,2,3,3,5,3,2,2
812,1,2,4,2,1,2,1
813,1,3,4,5,2,1,1
814,3,2,5,5,2,3,2
815,4,3,3,5,3,1,1
816,2,3,2,5,1,1,1
817,4,3,3,4,2,1,1
818,4,4,5,5,1,3,1
819,4,3,3,5,2,2,1
820,3,4,3,4,3,1,1
821,1,1,3,2,1,1,1
822,4,2,4,5,2,3,2
823,4,3,2,2,2,3,1
824,2,2,2,2,3,3,1
825,1,4,3,2,3,1,1
826,2,1,4,4,2,1,1
827,3,1,3,5,2,1,1
828,2,2,4,5,1,3,2
829,1,2,2,5,1,1,1
830,1,4,5,5,2,1,1
831,1,3,5,5,3,2,2
832,1,2,3,4,1,1,1
833,4,3,3,2,3,2,1
834,2,3,4,5,3,2,2
835,3,3,5,4,1,1,1
836,4,1,2,5,2,1,1
837,2,4,2,5,3,2,2
838,4,4,3,2,1,1,1
839,3,4,5,5,2,1,1
840,2,3,2,2,3,3,1
841,1,3,3,5,2,3,4
842,1,2,3,5,2,3,4
843,3,3,5,2,3,2,1
844,3,1,5,5,3,3,2
845,1,2,4,5,1,1,1
846,2,3,4,5,1,1,1
847,3,4,2,4,2,1,1
848,2,3,5,4,3,3,2
849,3,4,3,2,3,3,1
850,1,4,2,4,3,2,2
851,2,2,5,5,1,3,2
852,4,4,4,4,1,1,1
853,3,4,4,2,2,3,1
854,1,1,3,4,3,1,1
855,4,2,4,4,2,2,2
856,2,3,4,4,3,1,1
857,1,4,5,2,1,3,1
858,1,3,2,5,3,2,2
859,3,2,4,5,3,3,2
860,4,2,3,4,3,2,2
861,1,3,5,5,2,1,1
862,2,4,5,4,2,2,2
863,4,4,4,5,2,1,1
864,3,2,3,4,1,1,1
865,3,2,5,2,3,2,1
866,4,3,4,2,2,1,1
867,3,3,4,5,3,2,2
